$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$InterDependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.72,1.01,2.15,0.55,58.06,31.77,1.53,3.47,11.95,246.37,0.96,0.46
0.19,0.9,2.08,0.49,90.79,35.1,3.45,4.81,4.95,235.61,0.92,0.35
0.71,1.09,3.94,0.42,63.21,25.14,1.38,3.71,3.56,312.89,0.89,0.55
0.33,1.09,9.08,0.45,98.66,10.46,0.7,3.71,26.98,896.71,0.95,0.31
0.72,1.08,2.52,0.65,13.46,4.59,2.89,0.04,4.35,276.85,0.95,0.47
0.29,1.07,5.48,0.69,24.86,35.88,3.02,3.78,8.51,931.77,0.59,0.0
0.43,1.06,8.13,0.6,8.52,6.93,0.91,4.51,24.86,689.32,0.86,0.14
0.13,1.04,3.53,0.57,39.52,35.21,1.7,4.44,37.06,403.93,0.58,0.0
0.71,1.1,6.56,0.42,27.36,48.78,0.59,1.38,30.86,516.4,0.86,0.43
0.13,1.12,3.45,0.6,76.6,7.3,0.65,1.14,42.58,289.71,0.83,0.0
0.38,1.02,8.75,0.59,87.77,39.14,1.8,4.59,20.88,854.75,0.88,0.29
0.6,0.99,5.96,0.57,34.88,5.96,0.54,0.25,30.34,430.27,1.0,0.53
0.81,1.13,9.96,0.44,73.41,32.54,1.53,0.61,3.29,1115.75,0.94,0.57
0.33,1.0,8.97,0.67,74.51,18.05,3.48,1.97,9.72,1352.81,0.85,0.23
0.22,0.98,6.03,0.53,56.55,13.96,0.59,1.76,27.14,394.6,0.77,0.0
0.84,1.16,2.08,0.66,70.51,18.97,0.95,0.21,23.16,153.67,0.89,0.0
0.88,0.98,4.98,0.44,59.91,33.63,3.9,2.72,38.29,898.43,0.97,0.46
0.81,0.98,6.16,0.4,79.95,5.88,2.34,2.56,25.03,785.51,0.95,0.53
0.55,0.92,3.69,0.56,33.16,20.05,2.57,2.21,21.92,351.52,0.64,0.0
0.63,1.14,2.86,0.51,99.9,19.97,3.99,2.49,29.94,605.45,0.92,0.29
0.83,1.06,5.36,0.67,27.77,19.55,1.17,3.84,14.96,547.75,0.91,0.47
0.21,0.93,5.5,0.46,69.47,46.96,1.0,1.12,26.42,463.95,0.92,0.59
0.18,0.95,8.27,0.66,24.76,36.76,1.01,4.3,32.67,794.96,0.97,0.03
0.42,0.97,9.74,0.55,13.53,30.6,0.06,2.53,36.86,885.34,0.88,0.42
0.74,1.19,5.82,0.57,49.65,34.59,0.28,3.28,33.84,668.87,0.91,0.33
0.78,1.09,4.01,0.53,5.29,29.17,0.89,3.25,7.02,260.74,0.7,0.22
0.18,0.96,3.6,0.42,72.99,25.9,3.1,4.6,25.95,603.04,0.95,0.34
0.33,1.03,3.79,0.42,50.05,47.29,1.54,2.49,39.0,473.06,0.98,0.43
0.42,1.11,4.31,0.66,43.52,19.31,2.56,1.29,41.24,842.67,0.58,0.0
0.16,0.87,8.69,0.57,2.74,6.33,0.55,0.89,16.02,191.63,1.0,0.36
0.12,1.0,3.11,0.62,93.4,10.12,2.17,3.94,26.2,384.47,0.94,0.27
0.45,0.98,5.8,0.64,37.41,31.44,0.43,0.71,27.0,449.48,1.0,0.41
0.75,1.01,2.53,0.4,45.66,4.94,2.89,3.58,41.09,423.27,0.92,0.23
0.27,0.95,6.03,0.45,89.41,35.55,1.02,4.21,20.05,509.83,0.96,0.35
0.43,1.14,2.1,0.56,30.08,17.44,0.71,3.41,22.11,164.45,0.9,0.36
0.22,0.87,9.33,0.5,49.65,40.61,2.37,1.31,3.71,731.81,0.79,0.36
0.85,0.89,7.48,0.68,13.64,15.24,1.14,1.14,32.9,635.35,0.87,0.54
0.71,1.03,5.82,0.4,43.85,25.3,0.05,2.67,17.12,289.03,0.71,0.0
0.58,0.96,5.27,0.49,52.49,27.84,3.14,3.65,43.77,1068.43,0.96,0.42
0.37,1.08,4.74,0.46,9.01,21.32,3.25,4.36,11.23,905.08,0.78,0.03
0.4,1.12,6.44,0.61,65.62,44.65,0.23,1.86,3.73,451.34,0.89,0.57
0.48,0.82,6.25,0.53,46.67,37.45,2.79,2.48,36.89,709.56,0.85,0.08
0.32,1.12,2.04,0.5,50.12,46.66,3.54,1.45,20.62,318.31,0.71,0.0
0.49,0.85,3.25,0.46,11.22,15.4,2.6,2.19,23.75,392.85,0.95,0.28
0.9,0.92,8.58,0.68,40.54,27.75,3.51,3.97,14.03,937.04,0.93,0.29
0.48,0.87,7.64,0.44,87.55,9.69,2.04,0.64,33.1,932.56,0.98,0.26
0.53,1.14,6.2,0.42,88.69,45.58,1.06,3.03,14.4,930.78,0.9,0.3
0.56,0.91,2.51,0.63,65.56,33.26,0.03,3.97,33.21,177.38,0.73,0.0
0.38,1.19,3.66,0.64,35.69,20.6,3.13,1.59,37.63,1003.69,0.81,0.38
0.32,0.84,6.88,0.57,13.34,32.16,0.03,1.02,11.67,228.48,0.57,0.0
0.88,0.83,2.77,0.5,72.24,5.45,1.18,4.86,26.19,202.87,0.95,0.32
0.35,0.92,4.96,0.52,39.38,4.36,1.02,2.57,29.68,439.83,0.95,0.16
0.22,1.09,6.23,0.55,19.63,10.82,1.3,0.07,15.52,699.88,0.97,0.47
0.15,1.04,7.88,0.48,87.18,25.87,1.69,2.33,12.16,902.07,0.92,0.54
0.34,1.04,8.48,0.58,38.67,13.85,0.36,3.0,36.13,982.69,0.89,0.27
0.2,1.12,4.97,0.56,19.4,35.69,0.52,0.99,41.92,275.61,1.0,0.33
0.19,0.89,5.45,0.7,73.23,10.15,1.52,2.39,4.62,350.33,0.87,0.44
0.43,1.14,7.85,0.44,72.75,39.11,0.28,0.84,12.38,818.36,0.92,0.39
0.88,1.0,4.08,0.5,3.22,14.26,0.45,3.48,7.26,160.46,0.93,0.48
0.71,1.06,8.12,0.42,55.22,25.51,1.49,4.68,13.59,747.66,0.94,0.29
0.86,0.93,9.75,0.56,80.94,9.21,2.13,2.67,20.37,1115.66,0.9,0.09
0.43,1.12,5.54,0.42,60.39,34.46,1.03,1.68,19.14,595.06,0.96,0.54
0.3,1.18,6.12,0.46,62.09,7.42,1.06,0.83,19.71,653.66,0.98,0.38
0.34,1.0,9.49,0.41,18.41,1.61,2.81,0.19,35.76,1389.68,0.98,0.39
0.35,1.14,7.24,0.65,16.06,48.57,2.41,3.5,43.66,1513.4,0.96,0.25
0.63,0.96,9.49,0.48,6.22,22.56,0.97,4.8,16.22,347.1,0.77,0.0
0.22,0.82,8.58,0.46,20.79,45.51,2.69,1.09,42.27,820.6,0.91,0.49
0.79,1.15,3.21,0.57,45.35,1.93,2.21,1.04,26.29,544.01,0.94,0.64
0.39,1.05,8.95,0.55,71.05,11.91,2.21,3.89,41.46,1715.28,0.94,0.34
0.71,1.19,2.78,0.46,50.07,11.45,0.97,4.99,10.48,175.99,1.0,0.44
0.12,1.04,3.26,0.68,73.33,35.31,1.89,1.86,41.63,536.78,0.97,0.24
0.44,1.13,5.91,0.41,21.3,46.57,1.78,0.57,2.12,749.91,0.85,0.66
0.21,1.1,9.06,0.41,11.18,19.39,0.88,3.12,20.48,612.14,1.0,0.37
0.55,0.97,6.77,0.49,79.12,39.89,3.4,0.34,31.33,1229.76,0.98,0.29
0.55,1.01,8.13,0.49,75.01,4.28,0.56,0.49,16.77,598.75,1.0,0.36
0.64,0.91,7.64,0.46,37.99,4.18,3.19,0.42,16.92,941.65,0.98,0.34
0.11,0.92,9.21,0.54,7.7,47.81,2.09,4.09,38.02,1321.19,0.95,0.42
0.83,0.99,6.65,0.44,72.18,7.3,1.14,2.44,39.81,777.88,0.96,0.29
0.24,0.93,8.51,0.42,31.1,49.61,1.7,1.21,19.07,728.69,0.94,0.58
0.1,1.07,3.56,0.6,27.5,37.95,1.71,4.82,1.58,254.87,0.82,0.51
0.82,0.98,2.23,0.7,63.42,42.09,1.06,1.84,19.27,240.77,0.92,0.28
0.13,0.94,2.32,0.55,95.07,33.66,1.35,2.39,42.37,271.06,0.92,0.03
0.28,0.82,2.98,0.58,28.06,40.7,0.21,4.74,37.54,192.44,0.8,0.08
0.79,0.99,2.42,0.58,42.42,3.8,2.37,1.4,4.24,206.87,0.7,0.01
0.43,1.06,8.74,0.66,33.05,38.32,0.9,4.09,18.31,679.52,0.93,0.07
0.18,0.91,7.04,0.56,58.43,35.23,2.74,1.6,25.57,957.12,0.79,0.0
0.26,1.18,8.1,0.43,8.75,22.64,0.58,2.13,17.14,762.03,0.88,0.13
0.55,1.08,4.82,0.5,93.23,39.42,1.76,2.54,27.79,636.07,0.85,0.46
0.39,1.11,4.11,0.47,42.53,38.9,1.6,3.53,35.56,458.91,1.0,0.53
0.64,0.85,9.87,0.44,72.44,32.81,2.36,0.58,42.29,1078.0,0.78,0.0
0.72,0.9,9.52,0.5,76.58,36.7,2.52,5.0,11.19,1069.37,0.7,0.03
0.56,0.95,3.32,0.59,63.06,43.88,3.45,3.25,14.09,445.48,0.93,0.24
0.71,1.16,4.5,0.46,94.99,41.2,0.07,1.13,30.79,273.02,0.89,0.38
0.61,0.84,3.78,0.61,57.81,9.75,2.25,2.65,28.49,464.94,0.61,0.0
0.88,1.03,3.65,0.59,77.93,46.94,3.42,4.2,16.24,624.12,0.81,0.05
0.34,0.85,9.11,0.57,85.69,24.09,3.47,2.37,28.78,1251.02,0.84,0.05
0.4,1.0,5.09,0.58,52.14,23.93,0.49,3.52,30.84,238.24,0.4,0.0
0.47,0.95,2.11,0.58,11.71,3.16,1.07,0.62,15.61,133.24,0.43,0.0
0.59,0.86,9.13,0.47,2.24,17.93,2.05,3.74,7.35,808.77,0.96,0.53
0.37,1.05,7.34,0.44,81.86,22.91,0.05,3.01,16.19,528.1,0.72,0.0
0.51,0.83,6.89,0.68,24.26,11.21,1.13,4.62,19.4,571.97,0.95,0.33
0.32,1.15,3.46,0.55,86.01,33.71,1.86,4.82,19.27,699.34,0.7,0.26
0.37,0.9,3.57,0.54,88.06,10.12,1.62,4.11,13.11,254.69,0.5,0.0
0.62,1.11,9.49,0.47,29.47,24.36,3.03,3.57,12.27,1800.33,0.83,0.13
0.13,0.98,4.63,0.55,12.98,42.99,0.01,0.66,28.23,206.43,0.86,0.65
0.87,1.02,4.08,0.56,23.73,8.59,1.62,2.87,15.16,350.27,0.95,0.46
0.29,0.91,7.85,0.57,51.81,39.41,0.94,1.17,24.97,296.44,0.89,0.6
0.66,0.94,8.22,0.65,71.05,1.33,1.58,2.14,20.12,626.75,0.82,0.06
0.36,0.94,7.9,0.43,82.27,42.81,0.36,3.34,11.46,399.2,0.48,0.0
0.35,1.2,7.63,0.69,48.03,25.91,0.64,4.83,14.66,752.32,0.86,0.45
0.82,1.15,3.5,0.42,65.62,11.04,3.11,1.57,13.86,642.55,0.82,0.02
0.76,0.9,8.24,0.64,32.06,39.58,0.15,1.16,32.96,448.05,0.85,0.48
0.73,0.97,4.07,0.45,95.35,39.2,2.61,0.46,32.05,597.03,0.87,0.0
0.52,1.03,4.75,0.57,21.25,44.3,3.3,0.89,33.23,900.78,0.85,0.04
0.14,1.04,3.93,0.57,24.61,25.97,2.6,1.57,15.24,532.88,0.68,0.15
0.32,0.83,4.7,0.5,61.39,31.36,3.28,3.68,21.36,554.78,0.92,0.16
0.2,0.83,8.62,0.49,65.32,8.84,1.14,0.85,28.08,641.16,1.0,0.16
0.77,1.03,3.1,0.43,33.44,45.26,1.16,1.4,39.7,315.83,0.96,0.47
0.17,1.13,5.74,0.62,24.15,28.31,2.97,2.19,39.14,1028.85,0.92,0.09
0.88,0.85,8.38,0.61,67.53,35.8,1.54,0.15,11.4,618.95,0.5,0.0
0.8,0.94,8.04,0.69,73.57,26.85,0.31,2.15,39.77,441.37,0.85,0.0
0.86,0.86,9.27,0.66,45.3,16.91,3.15,3.88,39.68,1332.74,0.79,0.1
0.83,1.07,6.74,0.61,84.29,35.43,3.78,2.67,28.88,1272.45,0.93,0.12
0.54,0.87,8.84,0.66,71.26,48.05,0.14,1.77,31.55,534.34,0.93,0.36
0.45,0.82,8.4,0.41,26.03,11.95,2.53,3.59,35.52,866.48,0.9,0.28
0.75,1.18,2.29,0.4,12.16,12.47,1.86,4.78,8.53,190.21,0.94,0.28
0.14,1.16,2.1,0.44,94.44,2.82,1.58,3.67,41.57,259.89,0.92,0.61
0.11,0.9,4.88,0.6,10.22,32.52,1.04,0.54,16.14,360.81,0.97,0.09
0.51,1.08,8.63,0.55,21.1,1.38,3.14,1.5,43.72,2262.92,0.94,0.65
0.42,1.12,8.02,0.61,8.1,21.6,1.71,1.18,40.67,1388.89,0.86,0.29
0.23,1.07,4.78,0.42,14.15,46.24,0.65,2.99,17.07,376.33,0.89,0.0
0.31,1.05,9.77,0.68,35.2,44.2,1.51,0.81,17.05,999.07,0.89,0.13
0.7,1.06,6.53,0.67,2.54,6.22,0.82,3.55,35.06,484.95,0.76,0.07
0.62,0.96,3.52,0.56,49.07,2.4,3.56,2.06,34.34,618.57,0.95,0.54
0.24,1.01,3.57,0.45,14.79,14.6,1.82,0.32,29.47,374.13,0.9,0.13
0.47,1.15,4.82,0.67,17.93,39.48,2.95,4.16,36.17,828.43,0.7,0.0
0.2,1.04,9.69,0.62,81.03,30.27,2.96,4.55,36.12,1679.73,0.62,0.0
0.5,0.85,5.43,0.52,79.48,13.88,3.75,2.9,15.37,599.95,0.94,0.44
0.87,1.13,2.78,0.57,58.41,12.87,3.12,3.14,17.96,488.56,0.95,0.18
0.28,1.14,4.73,0.5,50.84,41.5,2.44,2.64,24.08,890.13,0.9,0.19
0.48,1.09,5.04,0.49,95.6,15.99,2.44,1.83,8.49,603.25,0.82,0.27
0.83,1.0,4.76,0.52,64.04,36.64,1.82,2.75,32.94,591.41,0.83,0.12
0.58,0.83,5.95,0.68,22.24,18.08,1.17,1.5,10.86,395.91,0.45,0.0
0.53,1.02,3.65,0.69,92.99,39.16,1.49,4.84,32.29,268.51,0.75,0.0
0.63,0.93,8.31,0.59,27.49,45.59,1.84,3.28,3.77,476.71,0.81,0.38
0.68,1.2,6.44,0.49,65.62,36.57,2.78,0.43,43.97,1632.61,0.99,0.29
0.7,0.85,2.93,0.49,90.36,47.71,2.64,1.58,28.89,351.29,0.95,0.37
0.85,1.16,4.73,0.51,85.46,39.59,1.44,1.23,19.25,533.09,0.86,0.33
0.49,1.02,6.1,0.52,83.2,29.68,2.94,3.59,31.09,957.84,0.9,0.44
0.37,0.85,6.25,0.5,36.74,10.55,0.27,2.45,29.97,320.62,0.92,0.61
0.3,1.12,3.4,0.69,91.8,28.66,1.47,0.83,16.26,318.38,0.91,0.25
0.51,0.88,7.78,0.57,39.97,44.11,2.56,0.18,20.6,1003.28,0.58,0.0
0.13,1.1,7.3,0.58,68.04,14.88,3.82,1.2,24.93,1580.59,0.91,0.47
0.81,0.94,3.42,0.4,85.85,27.02,3.6,2.56,23.83,587.92,0.98,0.5
0.31,0.96,3.64,0.54,84.86,14.77,1.76,4.36,32.54,352.97,0.88,0.0
0.26,1.14,6.37,0.41,64.15,24.19,0.55,0.07,20.03,521.62,0.89,0.27
0.3,0.93,6.55,0.42,95.12,34.19,2.37,3.09,34.28,784.4,0.89,0.2
0.89,1.18,5.1,0.66,76.72,14.05,3.61,2.63,21.6,1122.15,0.68,0.0
0.14,1.15,6.06,0.45,18.28,22.99,2.75,0.6,25.03,902.64,0.95,0.19
0.47,1.09,7.37,0.44,18.04,5.75,0.67,0.41,14.42,301.0,0.86,0.65
0.82,0.96,3.86,0.47,26.37,26.62,1.16,3.74,2.16,321.43,0.56,0.09
0.22,1.17,9.6,0.67,41.02,45.38,3.45,4.58,29.38,2530.53,0.77,0.04
0.7,0.95,6.12,0.61,72.85,40.85,3.93,0.3,16.33,913.43,0.96,0.28
0.63,1.05,4.19,0.65,5.51,27.71,2.54,2.15,14.84,527.62,0.87,0.18
0.73,1.14,9.48,0.43,42.07,13.21,3.43,1.09,21.91,2205.02,0.94,0.62
0.12,1.07,5.36,0.54,56.22,23.47,2.01,1.55,39.03,884.18,0.84,0.0
0.89,1.04,7.06,0.58,40.32,15.9,0.1,0.98,6.1,277.04,0.88,0.22
0.58,0.95,4.16,0.43,48.91,8.07,3.76,0.42,19.32,610.87,0.79,0.01
0.66,1.19,8.84,0.41,89.21,5.72,0.31,1.62,18.24,685.38,0.92,0.61
0.87,1.14,2.71,0.48,95.12,36.82,1.66,2.06,28.48,339.72,0.92,0.36
0.63,1.16,4.04,0.54,89.06,33.01,2.02,2.8,33.08,744.01,0.98,0.34
0.44,0.86,8.05,0.42,1.81,28.12,2.13,1.78,29.39,782.46,0.91,0.65
